id,source,relative_path,mtime,selected
n4_07364,tup,tup\n4_07364_小鳥_00003_.png,1782800242.548684,yes
n5_07718,tup,tup\n5_07718_いす_00001_.png,1782789498.143214,yes
n5_07725,tup,tup\n5_07725_おなか_00000.png,1782804071.181271,yes
n5_07726,tup,tup\n5_07726_おばあさん_00003_.png,1782800372.2507713,yes
n5_07729,tup,tup\n5_07729＿お兄さん_00000.png,1782804192.1379225,yes
n5_07730,tup,tup\n5_07730_お姉さん.png,1782818863.2329931,yes
n5_07734,tup,tup\n5_07734＿お父さん_00000.png,1782804214.4967003,yes
n5_07736,tup,tup\n5_07736_お茶_00001_.png,1782789508.397978,yes
n5_07739,tup,tup\n5_07739_お金.png,1782804690.880953,yes
n5_07742,tup,tup\n5_07742_かぎ_00003_.png,1782800377.8776684,yes
n5_07744,tup,tup\n5_07744_かばん_00001_.png,1782789497.9950943,yes
n5_07777,tup,tup\n5_07777_ちゃわん_00003_.png,1782800383.6458044,yes
n5_07786,tup,tup\n5_07786_とり肉_00001_.png,1782789508.252398,yes
n5_07821,tup,tup\n5_07821_カップ_00001_.png,1782789497.932549,yes
n5_07822,tup,tup\n5_07822_カメラ_00001_.png,1782789497.8338797,yes
n5_07830,tup,tup\n5_07830_コップ.png,1782806231.3022726,yes
n5_07832,tup,tup\n5_07832_コート.png,1782819526.6808233,yes
n5_07833,tup,tup\n5_07833_コーヒー.png,1782805941.4017594,yes
n5_07834,tup,tup\n5_07834＿シャツ.png,1782805429.788473,yes
n5_07836,tup,tup\n5_07836＿スカート.png,1782805565.2435741,yes
n5_07838,tup,tup\n5_07838_スプーン.png,1782806282.3429527,yes
n5_07844,tup,tup\n5_07844_タクシー_00001_.png,1782789466.000389,yes
n5_07847,tup,tup\n5_07847_テーブル_00001_.png,1782789495.9913054,yes
n5_07850,tup,tup\n5_07850_デパート_00001_.png,1782789479.3347454,yes
n5_07853,tup,tup\n5_07853_ナイフ_00001_.png,1782789495.9308305,yes
n5_07858,tup,tup\n5_07858_バス_00001_.png,1782789466.0539184,yes
n5_07860,tup,tup\n5_07860_パン_00003_.png,1782800383.5076358,yes
n5_07863,tup,tup\n5_07863_フォーク_00001_.png,1782789496.025946,yes
n5_07867,tup,tup\n5_07867_ペン_00001_.png,1782789495.866946,yes
n5_07869,tup,tup\n5_07869_ホテル_00001_.png,1782789479.18053,yes
n5_07871,tup,tup\n5_07871_ボールペン_00001_.png,1782789495.700929,yes
n5_07879,tup,tup\n5_07879_レストラン_00003_.png,1782800362.5195892,yes
n5_07880,tup,tup\n5_07880＿ワイシャツ.png,1782805614.3763223,yes
n5_07883,tup,tup\n5_07883_一人_00001_.png,1782789484.5415437,yes
n5_07893,tup,tup\n5_07893_万年筆.png,1782806336.4356568,yes
n5_07901,tup,tup\n5_07901_上着.png,1782805673.3643174,yes
n5_07915,tup,tup\n5_07915_二人.png,1782818753.4709885,yes
n5_07923,tup,tup\n5_07923_交番.png,1782806445.2762995,yes
n5_07938,tup,tup\n5_07938_伯父_叔父_00001_.png,1782789461.7246969,yes
n5_07941,tup,tup\n5_07941_体_00003_.png,1782781071.2003558,yes
n5_07948,tup,tup\n5_07948_傘_00001_.png,1782789495.6512556,yes
n5_07950,tup,tup\n5_07950_元気_00002_.png,1782780505.608238,yes
n5_07951,tup,tup\n5_07951_兄_00001_.png,1782789482.084026,yes
n5_07965,tup,tup\n5_07965_公園_00001_.png,1782789469.4488018,yes
n5_07975,tup,tup\n5_07975_出る_00001_.png,1782789450.5882926,yes
n5_07980,tup,tup\n5_07980_切符.png,1782818336.8407595,yes
n5_07985,tup,tup\n5_07985_動物_00004_.png,1782800389.6670647,yes
n5_07988,tup,tup\n5_07988_医者_00001_.png,1782789482.0256577,yes
n5_07998,tup,tup\n5_07998_卵_00001_.png,1782789506.6641502,yes
n5_08001,tup,tup\n5_08001_友達.png,1782818888.0796392,yes
n5_08003,tup,tup\n5_08003_口_00000.png,1782804023.604992,yes
n5_08005,tup,tup\n5_08005_台所.png,1782819162.592072,yes
n5_08015,tup,tup\n5_08015_喫茶店_00001_.png,1782789506.6107092,yes
n5_08020,tup,tup\n5_08020_図書館_00001_.png,1782789469.3410285,yes
n5_08023,tup,tup\n5_08023_地下鉄_00003_.png,1782800362.1263192,yes
n5_08024,tup,tup\n5_08024_地図_00001_.png,1782789495.55741,yes
n5_08046,tup,tup\n5_08046_天気.png,1782806101.4953108,yes
n5_08047,tup,tup\n5_08047_太い_00003_.png,1782800283.101838,yes
n5_08048,tup,tup\n5_08048_奥さん.png,1782818941.0864525,yes
n5_08050,tup,tup\n5_08050_女の子_00001_.png,1782789481.901596,yes
n5_08052,tup,tup\n5_08052_妹_00001_.png,1782789481.856132,yes
n5_08053,tup,tup\n5_08053_姉_00001_.png,1782789479.6417327,yes
n5_08057,tup,tup\n5_08057_子供_00001_.png,1782789479.531757,yes
n5_08059,tup,tup\n5_08059_学校.png,1782819383.6475196,yes
n5_08060,tup,tup\n5_08060_学生.png,1782819226.667329,yes
n5_08062,tup,tup\n5_08062_家_00001_.png,1782789469.1741076,yes
n5_08064,tup,tup\n5_08064_家族.png,1782819003.0291054,yes
n5_08075,tup,tup\n5_08075_川_河_00004_.png,1782816880.9519203,yes
n5_08079,tup,tup\n5_08079_帽子.png,1782805710.8381586,yes
n5_08082,tup,tup\n5_08082_店.png,1782821259.678622,yes
n5_08083,tup,tup\n5_08083_座る_00004_.png,1782816861.6075196,yes
n5_08086,tup,tup\n5_08086_建物_00004_.png,1782816881.210619,yes
n5_08088,tup,tup\n5_08088_弟_00001_.png,1782789479.3941848,yes
n5_08095,tup,tup\n5_08095_御飯_00001_.png,1782789506.5601635,yes
n5_08102,tup,tup\n5_08102_手_00002_.png,1782780512.7736502,yes
n5_08103,tup,tup\n5_08103_手紙.png,1782818613.8525667,yes
n5_08106,tup,tup\n5_08106_掃除_00001_.png,1782789436.2378044,yes
n5_08115,tup,tup\n5_08115_新聞_00001_.png,1782789489.0622127,yes
n5_08129,tup,tup\n5_08129_昼御飯.png,1782806011.529338,yes
n5_08131,tup,tup\n5_08131_時計_00001_.png,1782789488.949283,yes
n5_08134,tup,tup\n5_08134_晩御飯_00003_.png,1782800383.4321823,yes
n5_08141,tup,tup\n5_08141_曇り.png,1782806132.109052,yes
n5_08150,tup,tup\n5_08150_木_00001_.png,1782789500.049222,yes
n5_08152,tup,tup\n5_08152_本_00001_.png,1782789488.8806655,yes
n5_08154,tup,tup\n5_08154_机.png,1782818516.3953083,yes
n5_08161,tup,tup\n5_08161_果物_00001_.png,1782789506.42181,yes
n5_08170,tup,tup\n5_08170_歩く_00001_.png,1782789434.183777,yes
n5_08171,tup,tup\n5_08171_歯.png,1782819526.7633998,yes
n5_08179,tup,tup\n5_08179_水_00003_.png,1782800378.3347514,yes
n5_08184,tup,tup\n5_08184_洋服.png,1782805759.0056493,yes
n5_08187,tup,tup\n5_08187_海.png,1782818237.74191,yes
n5_08200,tup,tup\n5_08200_牛乳_00003_.png,1782800378.2975247,yes
n5_08203,tup,tup\n5_08203_犬_00000.png,1782803982.967731,yes
n5_08205,tup,tup\n5_08205_猫_00000.png,1782803949.7508435,yes
n5_08211,tup,tup\n5_08211_男の子_00003_.png,1782800367.0998552,yes
n5_08213,tup,tup\n5_08213_留学生.png,1782821779.1924138,yes
n5_08217,tup,tup\n5_08217_病院_00001_.png,1782789469.0795357,yes
n5_08224,tup,tup\n5_08224_目_00004_.png,1782781951.7977543,yes
n5_08230,tup,tup\n5_08230_砂糖_00003_.png,1782800378.2304082,yes
n5_08236,tup,tup\n5_08236_立つ_00004_.png,1782816847.1378496,yes
n5_08238,tup,tup\n5_08238_箱_00001_.png,1782789488.7006476,yes
n5_08239,tup,tup\n5_08239_紅茶_00001_.png,1782789502.695449,yes
n5_08240,tup,tup\n5_08240_紙_00001_.png,1782789488.755282,yes
n5_08251,tup,tup\n5_08251_耳_00000.png,1782804111.505585,yes
n5_08251,tup,tup\n5_08251_耳_00003_.png,1782781960.6403606,no
n5_08253,tup,tup\n5_08253_肉_00001_.png,1782789502.6383855,yes
n5_08259,tup,tup\n5_08259_自転車_00001_.png,1782789465.842128,yes
n5_08261,tup,tup\n5_08261_花_00001_.png,1782789499.9005966,yes
n5_08262,tup,tup\n5_08262_花瓶_00001_.png,1782789488.606916,yes
n5_08267,tup,tup\n5_08267_葉書.png,1782818573.3080158,yes
n5_08269,tup,tup\n5_08269_薬_00003_.png,1782781094.9127283,yes
n5_08282,tup,tup\n5_08282_読む_00003_.png,1782800308.7245622,yes
n5_08295,tup,tup\n5_08295_走る_00003_.png,1782800305.1852527,yes
n5_08297,tup,tup\n5_08297_足.png,1782819526.5946534,yes
n5_08298,tup,tup\n5_08298_車_00001_.png,1782789461.8900545,yes
n5_08309,tup,tup\n5_08309_道.png,1782821216.0006154,yes
n5_08312,tup,tup\n5_08312_部屋.png,1782821363.1985333,yes
n5_08313,tup,tup\n5_08313_郵便局_00001_.png,1782789465.9363136,yes
n5_08314,tup,tup\n5_08314_重い_00001_.png,1782789308.0591564,yes
n5_08315,tup,tup\n5_08315_野菜_00001_.png,1782789502.5890205,yes
n5_08317,tup,tup\n5_08317_鉛筆_00001_.png,1782789488.5591245,yes
n5_08318,tup,tup\n5_08318_銀行.png,1782821304.4229074,yes
n5_08326,tup,tup\n5_08326_降る_00003_.png,1782800297.7042115,yes
n5_08329,tup,tup\n5_08329_雑誌_00001_.png,1782789488.532215,yes
n5_08331,tup,tup\n5_08331_雨.png,1782806175.033689,yes
n5_08332,tup,tup\n5_08332_雪_00001_.png,1782789499.8578222,yes
n5_08335,tup,tup\n5_08335_電話.png,1782818653.5509913,yes
n5_08336,tup,tup\n5_08336_電車_00001_.png,1782789461.8583658,yes
n5_08340,tup,tup\n5_08340_靴.png,1782805822.6866298,yes
n5_08341,tup,tup\n5_08341_靴下.png,1782805895.5341394,yes
n5_08350,tup,tup\n5_08350_食べ物_00004_.png,1782816891.145726,yes
n5_08356,tup,tup\n5_08356_高い_00001_.png,1782789307.7764595,yes
n5_08357,tup,tup\n5_08357_魚.png,1782782655.8318474,yes
n5_08358,tup,tup\n5_08358_鳥_00002_.png,1782779536.5383048,yes
n5_08361,tup,tup\n5_08361_黄色い_00001_.png,1782789307.7274601,yes
n5_08363,tup,tup\n5_08363_黒い_00004_.png,1782816784.0042994,yes
n5_08364,tup,tup\n5_08364＿鼻_00000.png,1782804138.7006207,yes
n4_07093,tup_n4_files,tup_n4\files\n4_07093_お・金持ち_有钱人.png,1782871759.0429888,yes
n4_07147,tup_n4_files,tup_n4\files\n4_07147_つき_月亮.png,1782873368.4819968,yes
n4_07193,tup_n4_files,tup_n4\files\n4_07193_ガソリンスタンド_加油站.png,1782867270.7543888,yes
n4_07194,tup_n4_files,tup_n4\files\n4_07194_ガラス_玻璃、玻璃窗.png,1782871428.6499214,yes
n4_07195,tup_n4_files,tup_n4\files\n4_07195_ケーキ_蛋糕.png,1782866779.6469097,yes
