id,jlpt_level,word,reading,meaning,image_status,image_type,visual_domain,image_review
n5_07709,N5,あびる,あびる,"to bathe,to shower",scene_image,person_action_scene,action_state,NO PICTURE
n5_07711,N5,ある,ある,"to be,to have (used for inanimate objects)",scene_image,person_action_scene,action_state,NO PICTURE
n5_07741,N5,かかる,かかる,to take time or money,scene_image,person_action_scene,action_state,NO PICTURE
n5_07743,N5,かける,かける,to call by phone,scene_image,person_action_scene,action_state,NO PICTURE
n5_07760,N5,する,する,to do,scene_image,person_action_scene,action_state,NO PICTURE
n5_07780,N5,つける,つける,to turn on,scene_image,person_action_scene,action_state,NO PICTURE
n5_07782,N5,できる,できる,to be able to,scene_image,person_action_scene,action_state,NO PICTURE
n5_07799,N5,なる,なる,to become,scene_image,person_action_scene,action_state,NO PICTURE
n5_07801,N5,はく,はく,"to wear,to put on trousers",scene_image,person_action_scene,action_state,NO PICTURE
n5_07814,N5,やる,やる / ヤる,to do,scene_image,person_action_scene,action_state,NO PICTURE
n5_07899,N5,上げる,あげる,to give,scene_image,person_action_scene,action_state,NO PICTURE
n5_07905,N5,並ぶ,ならぶ,"to line up,to stand in a line",scene_image,person_action_scene,action_state,NO PICTURE
n5_07906,N5,並べる,ならべる,"to line up,to set up",scene_image,person_action_scene,action_state,NO PICTURE
n5_07909,N5,乗る,のる,"to get on,to ride",scene_image,person_action_scene,action_state,NO PICTURE
n5_07934,N5,休む,やすむ,to rest,scene_image,person_action_scene,action_state,NO PICTURE
n5_07935,N5,会う,あう,to meet,scene_image,person_action_scene,action_state,NO PICTURE
n5_07940,N5,住む,すむ,to live in,scene_image,person_action_scene,action_state,NO PICTURE
n5_07943,N5,作る,つくる,to make,scene_image,person_action_scene,action_state,NO PICTURE
n5_07945,N5,使う,つかう,to use,scene_image,person_action_scene,action_state,NO PICTURE
n5_07947,N5,借りる,かりる,to borrow,scene_image,person_action_scene,action_state,NO PICTURE
n5_07949,N5,働く,はたらく,to work,scene_image,person_action_scene,action_state,NO PICTURE
n5_07957,N5,入る,はいる,"to enter,to contain",scene_image,person_action_scene,action_state,NO PICTURE
n5_07958,N5,入れる,いれる,to put in,scene_image,person_action_scene,action_state,NO PICTURE
n5_07973,N5,出かける,でかける,to go out,scene_image,person_action_scene,action_state,NO PICTURE
n5_07974,N5,出す,だす,to put out,scene_image,person_action_scene,action_state,NO PICTURE
n5_07977,N5,分かる,わかる,to be understood,scene_image,person_action_scene,action_state,NO PICTURE
n5_07978,N5,切る,きる,to cut,scene_image,person_action_scene,action_state,NO PICTURE
n5_07984,N5,勉強,べんきょうする,to study,scene_image,person_action_scene,action_state,NO PICTURE
n5_07986,N5,勤める,つとめる,to work for someone,scene_image,person_action_scene,action_state,NO PICTURE
n5_08002,N5,取る,とる,to take something,scene_image,person_action_scene,action_state,NO PICTURE
n5_08010,N5,吸う,すう,"to smoke,to suck",scene_image,person_action_scene,action_state,NO PICTURE
n5_08011,N5,吹く,ふく,to blow,scene_image,person_action_scene,action_state,NO PICTURE
n5_08012,N5,呼ぶ,よぶ,"to call out,to invite",scene_image,person_action_scene,action_state,NO PICTURE
n5_08013,N5,咲く,さく,to bloom,scene_image,person_action_scene,action_state,NO PICTURE
n5_08019,N5,困る,こまる,to be worried,scene_image,person_action_scene,action_state,NO PICTURE
n5_08027,N5,売る,うる,to sell,scene_image,person_action_scene,action_state,NO PICTURE
n5_08054,N5,始まる,はじまる,to begin,scene_image,person_action_scene,action_state,NO PICTURE
n5_08067,N5,寝る,ねる,"to go to bed,to sleep",scene_image,person_action_scene,action_state,NO PICTURE
n5_08077,N5,差す,さす,"to stretch out hands,to raise an umbrella",scene_image,person_action_scene,action_state,NO PICTURE
n5_08078,N5,帰る,かえる,to go back,scene_image,person_action_scene,action_state,NO PICTURE
n5_08087,N5,引く,ひく,to pull,scene_image,person_action_scene,action_state,NO PICTURE
n5_08091,N5,弾く,ひく,"to play an instrument with strings, including piano",scene_image,person_action_scene,action_state,NO PICTURE
n5_08092,N5,待つ,まつ,to wait,scene_image,person_action_scene,action_state,NO PICTURE
n5_08096,N5,忘れる,わすれる,to forget,scene_image,person_action_scene,action_state,NO PICTURE
n5_08104,N5,押す,おす,"to push, to stamp something",scene_image,person_action_scene,action_state,NO PICTURE
n5_08105,N5,持つ,もつ,to hold,scene_image,person_action_scene,action_state,NO PICTURE
n5_08108,N5,撮る,とる,to take a photo or record a film,scene_image,person_action_scene,action_state,NO PICTURE
n5_08109,N5,教える,おしえる,"to teach,to tell",scene_image,person_action_scene,action_state,NO PICTURE
n5_08111,N5,散歩,さんぽする,to stroll,scene_image,person_action_scene,action_state,NO PICTURE
n5_08117,N5,旅行,りょこう,travel,scene_image,person_action_scene,action_state,NO PICTURE
n5_08136,N5,晴れる,はれる,to be sunny,scene_image,person_action_scene,action_state,NO PICTURE
n5_08142,N5,曇る,くもる,"to become cloudy,to become dim",scene_image,person_action_scene,action_state,NO PICTURE
n5_08143,N5,曲る,まがる,"to turn,to bend",scene_image,person_action_scene,action_state,NO PICTURE
n5_08144,N5,書く,かく,to write,scene_image,person_action_scene,action_state,NO PICTURE
n5_08168,N5,歌う,うたう,to sing,scene_image,person_action_scene,action_state,NO PICTURE
n5_08169,N5,止まる,とまる,to come to a halt,scene_image,person_action_scene,action_state,NO PICTURE
