id,jlpt_level,word,reading,meaning,round2_review,source_file
n4_07364,N4,小鳥,ことり,small bird,OK,D:\codex-2\tup\NO\n4_07364_小鳥_00003_.png
n5_07726,N5,おばあさん,おばあさん / おばーさん,"grandmother,female senior-citizen",OK,D:\codex-2\tup\NO\n5_07726_おばあさん_00003_.png
n5_07742,N5,かぎ,かぎ / カギ,key,OK,D:\codex-2\tup\NO\n5_07742_かぎ_00003_.png
n5_07777,N5,ちゃわん,ちゃわん,rice bowl,OK,D:\codex-2\tup\NO\n5_07777_ちゃわん_00003_.png
n5_07860,N5,パン,パン,bread,OK,D:\codex-2\tup\NO\n5_07860_パン_00003_.png
n5_07879,N5,レストラン,レストラン,restaurant,OK,D:\codex-2\tup\NO\n5_07879_レストラン_00003_.png
n5_07985,N5,動物,どうぶつ,animal,OK,D:\codex-2\tup\NO\n5_07985_動物_00004_.png
n5_08023,N5,地下鉄,ちかてつ,underground train,OK,D:\codex-2\tup\NO\n5_08023_地下鉄_00003_.png
n5_08047,N5,太い,ふとい,fat,OK,D:\codex-2\tup\NO\n5_08047_太い_00003_.png
n5_08134,N5,晩御飯,ばんごはん,evening meal,OK,D:\codex-2\tup\NO\n5_08134_晩御飯_00003_.png
n5_08179,N5,水,みず,water,OK,D:\codex-2\tup\NO\n5_08179_水_00003_.png
n5_08200,N5,牛乳,ぎゅうにゅう,milk,OK,D:\codex-2\tup\NO\n5_08200_牛乳_00003_.png
n5_08211,N5,男の子,おとこのこ,boy,OK,D:\codex-2\tup\NO\n5_08211_男の子_00003_.png
n5_08230,N5,砂糖,さとう,sugar,OK,D:\codex-2\tup\NO\n5_08230_砂糖_00003_.png
n5_08282,N5,読む,よむ,to read,OK,D:\codex-2\tup\NO\n5_08282_読む_00003_.png
n5_08295,N5,走る,はしる,to run,OK,D:\codex-2\tup\NO\n5_08295_走る_00003_.png
n5_08326,N5,降る,ふる,"to fall, e.g. rain or snow",OK,D:\codex-2\tup\NO\n5_08326_降る_00003_.png
n5_07708,N5,あの,あの / あん,that over there,NO,D:\codex-2\tup\NO\NO\n5_07708_あの_00003_.png
n5_07709,N5,あびる,あびる,"to bathe,to shower",NO,D:\codex-2\tup\NO\NO\n5_07709_あびる_00003_.png
n5_07711,N5,ある,ある,"to be,to have (used for inanimate objects)",NO,D:\codex-2\tup\NO\NO\n5_07711_ある_00003_.png
n5_07724,N5,おいしい,おいしい / オイシイ,delicious,NO,D:\codex-2\tup\NO\NO\n5_07724_おいしい_00003_.png
n5_07725,N5,おなか,おなか,stomach,NO,D:\codex-2\tup\NO\NO\n5_07725_おなか_00006_.png
n5_07728,N5,おもしろい,おもしろい,interesting,NO,D:\codex-2\tup\NO\NO\n5_07728_おもしろい_00003_.png
n5_07729,N5,お兄さん,おにいさん,(honorable) older brother,NO,D:\codex-2\tup\NO\NO\n5_07729_お兄さん_00003_.png
n5_07730,N5,お姉さん,おねえさん,(honorable) older sister,NO,D:\codex-2\tup\NO\NO\n5_07730_お姉さん_00003_.png
n5_07734,N5,お父さん,おとうさん,(honorable) father,NO,D:\codex-2\tup\NO\NO\n5_07734_お父さん_00003_.png
n5_07739,N5,お金,おかね,money,NO,D:\codex-2\tup\NO\NO\n5_07739_お金_00003_.png
n5_07741,N5,かかる,かかる,to take time or money,NO,D:\codex-2\tup\NO\NO\n5_07741_かかる_00003_.png
n5_07743,N5,かける,かける,to call by phone,NO,D:\codex-2\tup\NO\NO\n5_07743_かける_00003_.png
n5_07745,N5,かわいい,かわいい / カワイイ / カワイい,cute,NO,D:\codex-2\tup\NO\NO\n5_07745_かわいい_00003_.png
n5_07746,N5,きれい,きれい / キレイ / きれーい,"pretty,clean",NO,D:\codex-2\tup\NO\NO\n5_07746_きれい_00003_.png
n5_07753,N5,こんな,こんな,such,NO,D:\codex-2\tup\NO\NO\n5_07753_こんな_00003_.png
n5_07760,N5,する,する,to do,NO,D:\codex-2\tup\NO\NO\n5_07760_する_00003_.png
n5_07766,N5,その,その / そん,that,NO,D:\codex-2\tup\NO\NO\n5_07766_その_00003_.png
n5_07780,N5,つける,つける,to turn on,NO,D:\codex-2\tup\NO\NO\n5_07780_つける_00003_.png
n5_07781,N5,つまらない,つまらない / つまらねー,boring,NO,D:\codex-2\tup\NO\NO\n5_07781_つまらない_00003_.png
n5_07782,N5,できる,できる,to be able to,NO,D:\codex-2\tup\NO\NO\n5_07782_できる_00003_.png
n5_07799,N5,なる,なる,to become,NO,D:\codex-2\tup\NO\NO\n5_07799_なる_00003_.png
n5_07801,N5,はく,はく,"to wear,to put on trousers",NO,D:\codex-2\tup\NO\NO\n5_07801_はく_00003_.png
n5_07806,N5,まずい,まずい / マズイ / マズい,unpleasant,NO,D:\codex-2\tup\NO\NO\n5_07806_まずい_00003_.png
n5_07814,N5,やる,やる / ヤる,to do,NO,D:\codex-2\tup\NO\NO\n5_07814_やる_00003_.png
n5_07818,N5,りっぱ,りっぱ,splendid,NO,D:\codex-2\tup\NO\NO\n5_07818_りっぱ_00003_.png
n5_07830,N5,コップ,コップ / コツフ,a glass,NO,D:\codex-2\tup\NO\NO\n5_07830_コップ_00003_.png
n5_07832,N5,コート,コート,"coat,tennis court",NO,D:\codex-2\tup\NO\NO\n5_07832_コート_00003_.png
n5_07833,N5,コーヒー,コーヒー,coffee,NO,D:\codex-2\tup\NO\NO\n5_07833_コーヒー_00003_.png
n5_07834,N5,シャツ,シャツ,shirt,NO,D:\codex-2\tup\NO\NO\n5_07834_シャツ_00004_.png
n5_07836,N5,スカート,スカート,skirt,NO,D:\codex-2\tup\NO\NO\n5_07836_スカート_00003_.png
n5_07838,N5,スプーン,スプーン / スプン,spoon,NO,D:\codex-2\tup\NO\NO\n5_07838_スプーン_00003_.png
n5_07893,N5,万年筆,まんねんひつ,fountain pen,NO,D:\codex-2\tup\NO\NO\n5_07893_万年筆_00003_.png
n5_07894,N5,丈夫,じょうぶ,"strong,durable",NO,D:\codex-2\tup\NO\NO\n5_07894_丈夫_00003_.png
n5_07899,N5,上げる,あげる,to give,NO,D:\codex-2\tup\NO\NO\n5_07899_上げる_00003_.png
n5_07900,N5,上手,じょうず,skillful,NO,D:\codex-2\tup\NO\NO\n5_07900_上手_00003_.png
n5_07901,N5,上着,うわぎ,jacket,NO,D:\codex-2\tup\NO\NO\n5_07901_上着_00003_.png
n5_07905,N5,並ぶ,ならぶ,"to line up,to stand in a line",NO,D:\codex-2\tup\NO\NO\n5_07905_並ぶ_00003_.png
n5_07906,N5,並べる,ならべる,"to line up,to set up",NO,D:\codex-2\tup\NO\NO\n5_07906_並べる_00003_.png
n5_07909,N5,乗る,のる,"to get on,to ride",NO,D:\codex-2\tup\NO\NO\n5_07909_乗る_00003_.png
n5_07915,N5,二人,ふたり,two people,NO,D:\codex-2\tup\NO\NO\n5_07915_二人_00003_.png
n5_07923,N5,交番,こうばん,police box,NO,D:\codex-2\tup\NO\NO\n5_07923_交番_00003_.png
n5_07934,N5,休む,やすむ,to rest,NO,D:\codex-2\tup\NO\NO\n5_07934_休む_00003_.png
n5_07935,N5,会う,あう,to meet,NO,D:\codex-2\tup\NO\NO\n5_07935_会う_00003_.png
