id,jlpt_level,word,reading,meaning,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source
n1_00006,N1,あら,あら / あらー,oh;ah;saw-edged perch (Niphon spinosus),interjection (kandoushi),oh! | ah! | oh no,review,45,manual_review,general,oh,あら,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00007,N1,あられ,あられ,kind of cookie;cartoon character,noun (common) (futsuumeishi),"hail (esp. hailballs under 5 mm) | graupel | dicing | small cubes | roasted mochi pieces (usu. flavoured with soy sauce, etc.)",review,55,noun_needs_review,general,kind of cookie,あられ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00008,N1,いい加減,いいかげん,moderate;right;random;not thorough;vague;irresponsible;halfhearted,adjectival nouns or quasi-adjectives (keiyodoshi) | adverb (fukushi),irresponsible | perfunctory | careless | lukewarm | half-baked,review,48,action_needs_review,person_family,person moderating,いい加減,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00010,N1,いざ,いざ,now;come (now);well;crucial moment,adverb (fukushi) | interjection (kandoushi),now | come (now) | well,review,48,action_needs_review,person_family,person nowwing,いざ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00011,N1,いっそ,いっそ,rather;sooner;might as well,adverb (fukushi),rather | sooner | preferably | might as well | just,review,48,action_needs_review,person_family,person ratherring,いっそ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00012,N1,いやに,いやに,awfully;terribly,adverb (fukushi),awfully | terribly,review,48,action_needs_review,person_family,person awfullying,いやに,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00014,N1,えい,えい / エイ,ray (fish),noun (common) (futsuumeishi),ray (any fish of superorder Batoidea),review,55,noun_needs_review,general,ray,えい,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00018,N1,お世辞,おせじ,flattery;compliment,noun (common) (futsuumeishi),flattery | compliment,review,55,noun_needs_review,general,flattery,お世辞,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00019,N1,お休み,おやすみ,holiday;absence;rest;Good night,noun (common) (futsuumeishi) | interjection (kandoushi),holiday | day off | absence | sleep | rest,review,55,noun_needs_review,general,holiday,お休み,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00020,N1,お使い,おつかい,errand,noun (common) (futsuumeishi),errand | mission | going on an errand | messenger | bearer,review,55,noun_needs_review,general,errand,お使い,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00021,N1,お供,おとも,attendant;companion,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru,attendant | companion,review,48,action_needs_review,person_family,person attendanting,お供,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00022,N1,お先に,おさきに,before;ahead;previously,"adverb (fukushi) | expressions (phrases, clauses, etc.)",before | previously | ahead | pardon me for leaving (before you),review,48,action_needs_review,person_family,person beforing,お先に,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00025,N1,お喋り,おしゃべり,chattering;talk;idle talk;chat;chitchat;gossip;chatty;talkative;chatterbox;blabbermouth,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | adjectival nouns or quasi-adjectives (keiyodoshi),chattering | talk | idle talk | chat | chitchat,review,48,action_needs_review,person_family,person chatteringing,お喋り,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00026,N1,お大事に,おだいじに,Take care of yourself,"expressions (phrases, clauses, etc.)",take care of yourself | get well soon,review,45,manual_review,general,Take care of yourself,お大事に,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00027,N1,お宮,おみや,Shinto shrine,noun (common) (futsuumeishi),Shinto shrine,review,55,noun_needs_review,general,Shinto shrine,お宮,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00028,N1,お巡りさん,おまわりさん,policeman (friendly term),noun (common) (futsuumeishi),police officer,review,55,noun_needs_review,general,policeman,お巡りさん,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
