id,jlpt_level,word,reading,image_review,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review
n1_02249,N1,渡り鳥,わたりどり,,migratory bird;bird of passage,,,,noun (common) (futsuumeishi),migratory bird | bird of passage,direct_image,84,single_object_or_place,animal,migratory bird,渡り鳥,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_02445,N1,畜産,ちくさん,NO PICTURE,animal husbandry,,,,noun (common) (futsuumeishi),animal husbandry | livestock industry,direct_image,84,single_object_or_place,animal,animal husbandry,畜産,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_03362,N1,雛,ひな,,young bird;chick;doll,,,,noun (common) (futsuumeishi),young bird | chick | fledgling | greenhorn | fledgeling,direct_image,84,single_object_or_place,animal,young bird,雛,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_03461,N1,鼠,ねず,,1. mouse;rat; 2. dark gray;slate color,,,,noun (common) (futsuumeishi),mouse | rat | dark gray | slate gray,direct_image,84,single_object_or_place,animal,1. mouse,鼠,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_00497,N1,人体,じんたい,,human body,,,,noun (common) (futsuumeishi),human body,direct_image,84,single_object_or_place,body_health,human body,人体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00572,N1,体付き,からだつき,,body build;figure,,,,noun (common) (futsuumeishi),body build | figure,direct_image,84,single_object_or_place,body_health,body build,体付き,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00642,N1,保養,ほよう,NO PICTURE,health preservation;recuperation;recreation,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,health preservation | recuperation | recreation,direct_image,84,single_object_or_place,body_health,health preservation,保養,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00670,N1,健全,けんぜん,NO PICTURE,health;soundness;wholesome,,,,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),healthy | sound | wholesome,direct_image,84,single_object_or_place,body_health,health,健全,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00671,N1,健在,けんざい,NO PICTURE,in good health;well,,,,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),in good health | alive and well | going strong,direct_image,84,single_object_or_place,body_health,in good health,健在,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00727,N1,全快,ぜんかい,NO PICTURE,complete recovery of health,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,complete recovery of health,direct_image,84,single_object_or_place,body_health,complete recovery of health,全快,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01256,N1,天体,てんたい,,heavenly body,,,,noun (common) (futsuumeishi),heavenly body | celestial body | astronomical object,direct_image,84,single_object_or_place,body_health,heavenly body,天体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01487,N1,建前,たてまえ,NO PICTURE,face;official stance;public position or attitude (as opposed to private thoughts),,,,noun (common) (futsuumeishi),face | official stance | public position or attitude (as opposed to private thoughts) | ceremony for the erection of the framework of a house,direct_image,84,single_object_or_place,body_health,face,建前,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01708,N1,手元,てもと,NO PICTURE,on hand;at hand;at home,,,,adverb (fukushi) | noun (common) (futsuumeishi),at hand | on hand | nearby | close at hand | way of moving one's arms,direct_image,84,single_object_or_place,body_health,on hand,手元,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01898,N1,新人,しんじん,,new face;newcomer,,,,noun (common) (futsuumeishi),newcomer | new figure | new member | recruit | rookie,direct_image,84,single_object_or_place,body_health,new face,新人,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02363,N1,物体,ぶったい,,body;object,,,,noun (common) (futsuumeishi),object | body | solid,direct_image,84,single_object_or_place,body_health,body,物体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02459,N1,病,やまい,,illness;disease,,,,noun (common) (futsuumeishi),illness | disease | bad habit | weakness | fault,direct_image,84,single_object_or_place,body_health,illness,病,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02603,N1,穂,ほ,NO PICTURE,ear (of plant);head (of plant),,,,noun (common) (futsuumeishi),"ear (of a cereal plant) | head | spike | point (of a brush, spear, etc.) | tip",direct_image,84,single_object_or_place,body_health,ear,穂,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02758,N1,肉体,にくたい,,the body;the flesh,,,,noun (common) (futsuumeishi),the body | the flesh | the outer man | one's physique,direct_image,84,single_object_or_place,body_health,body,肉体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02902,N1,衛生,えいせい,NO PICTURE,health;hygiene;sanitation;medical,,,,noun (common) (futsuumeishi),hygiene | sanitation | cleanliness | health | toilet,direct_image,84,single_object_or_place,body_health,health,衛生,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03125,N1,身体,からだ,,the body,,,,noun (common) (futsuumeishi),body | torso | trunk | build | physique,direct_image,84,single_object_or_place,body_health,body,身体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03320,N1,閉口,へいこう,NO PICTURE,shut mouth,,,,noun or participle which takes the aux. verb suru | intransitive verb | noun (common) (futsuumeishi) | adjectival nouns or quasi-adjectives (keiyodoshi),to be stumped | to be at a loss | to be at one's wits' end | to be nonplussed | to be fed up,direct_image,84,single_object_or_place,body_health,shut mouth,閉口,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03384,N1,面,おも,,face,,,,noun (common) (futsuumeishi),face | surface | mask (esp. a noh or kyogen mask),direct_image,84,single_object_or_place,body_health,face,面,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03389,N1,面目,めんぼく,NO PICTURE,face;honour;reputation;prestige;dignity;credit,,,,noun (common) (futsuumeishi),face | honour | honor | reputation | prestige,direct_image,84,single_object_or_place,body_health,face,面目,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03395,N1,頂,いただき,,(top of) head;summit;spire,,,,noun (common) (futsuumeishi),crown (of head) | summit (of mountain) | spire | easy win for one | something received,direct_image,84,single_object_or_place,body_health,head,頂,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03428,N1,首脳,しゅのう,NO PICTURE,head;brains,,,,noun (common) (futsuumeishi),head | leader | top | important part,direct_image,84,single_object_or_place,body_health,head,首脳,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00195,N1,ジャンパー,ジャンパー / ジャンパ / ジャンバー,,jacket;jumper,,,,noun (common) (futsuumeishi),(short) jacket | blouson | windbreaker | jumper | ski jumper,direct_image,84,single_object_or_place,clothing,jacket,ジャンパー,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n1_00217,N1,ソックス,ソックス,,socks,,,,noun (common) (futsuumeishi),socks,direct_image,84,single_object_or_place,clothing,socks,ソックス,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n1_00311,N1,ユニフォーム,ユニフォーム / ユニホーム,,uniform,,,,noun (common) (futsuumeishi),uniform,direct_image,84,single_object_or_place,clothing,uniform,ユニフォーム,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n1_00856,N1,制服,せいふく,,uniform,,,,noun (common) (futsuumeishi),uniform,direct_image,84,single_object_or_place,clothing,uniform,制服,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n1_02906,N1,衣類,いるい,,clothes;clothing;garments,,,,noun (common) (futsuumeishi),clothes | clothing | garments,direct_image,84,single_object_or_place,clothing,clothes,衣類,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n1_03135,N1,軍服,ぐんぷく,,military or naval uniform,,,,noun (common) (futsuumeishi),military uniform,direct_image,84,single_object_or_place,clothing,military or naval uniform,軍服,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n1_01458,N1,平方,へいほう,NO PICTURE,square (e.g. metre);square,,,,noun (common) (futsuumeishi),square (e.g. metre),direct_image,84,single_object_or_place,color_shape,square,平方,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n1_03394,N1,音色,おんいろ,NO PICTURE,tone color;tone quality;timbre;synthesizer patch,,,,noun (common) (futsuumeishi),tone color | tone colour | tone quality | timbre,direct_image,84,single_object_or_place,color_shape,tone color,音色,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n1_03459,N1,黒字,くろじ,NO PICTURE,balance (figure) in the black,,,,noun (common) (futsuumeishi),(being in) the black | surplus | black letter,direct_image,84,single_object_or_place,color_shape,balance  in the black,黒字,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n1_00313,N1,ライス,ライス,,rice,,,,noun (common) (futsuumeishi),rice (esp. when served on a plate),direct_image,84,single_object_or_place,food_drink,rice,ライス,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_00455,N1,主食,しゅしょく,,staple food,,,,noun (common) (futsuumeishi),staple food,direct_image,84,single_object_or_place,food_drink,staple food,主食,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_00467,N1,乳,ちち,,milk;breast;loop,,,,noun (common) (futsuumeishi),milk | breast | loop | decorative bump (on a hanging bell),direct_image,84,single_object_or_place,food_drink,milk,乳,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_01129,N1,喫茶,きっさ,,tea drinking;tea house,,,,noun (common) (futsuumeishi),tea drinking | teahouse | tearoom | coffee lounge | coffee shop,direct_image,84,single_object_or_place,food_drink,tea drinking,喫茶,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_01327,N1,定食,ていしょく,,set meal;special (of the day),,,,noun (common) (futsuumeishi),set meal | special (of the day),direct_image,84,single_object_or_place,food_drink,set meal,定食,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_02016,N1,杯,さかずき,,wine cups,,,,noun (common) (futsuumeishi),sake cup | cup for alcoholic beverages | ritual exchange of cups (to seal a bond or pledge),direct_image,84,single_object_or_place,food_drink,wine cups,杯,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_02349,N1,熱湯,ねっとう,,boiling water,,,,noun (common) (futsuumeishi),boiling water,direct_image,84,single_object_or_place,food_drink,boiling water,熱湯,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_02829,N1,苗,なえ,,rice seedling,,,,noun (common) (futsuumeishi),seedling | young plant | rice seedling,direct_image,84,single_object_or_place,food_drink,rice seedling,苗,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_02843,N1,茶の湯,ちゃのゆ,,tea ceremony,,,,noun (common) (futsuumeishi),tea ceremony | chanoyu,direct_image,84,single_object_or_place,food_drink,tea ceremony,茶の湯,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n1_00374,N1,三日月,みかずき,,new moon;crescent moon,,,,noun (common) (futsuumeishi),crescent moon | young moon,direct_image,84,single_object_or_place,nature_weather,new moon,三日月,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n1_00384,N1,上空,じょうくう,,sky;the skies;high-altitude sky;upper air,,,,noun (common) (futsuumeishi),sky | the skies | high-altitude sky | upper air,direct_image,84,single_object_or_place,nature_weather,sky,上空,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n1_01089,N1,吹奏,すいそう,,playing wind instruments,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,playing (a wind instrument) | blowing,direct_image,84,single_object_or_place,nature_weather,playing wind instruments,吹奏,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n1_01420,N1,山脈,さんみゃく,,mountain range,,,,noun (common) (futsuumeishi),mountain range | mountain belt,direct_image,84,single_object_or_place,nature_weather,mountain range,山脈,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n1_01463,N1,年輪,ねんりん,,annual tree ring,,,,noun (common) (futsuumeishi),annual tree ring | growth ring | experience in life,direct_image,84,single_object_or_place,nature_weather,annual tree ring,年輪,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n1_01950,N1,晴天,せいてん,,fine weather,,,,noun (common) (futsuumeishi),fine weather (i.e. little or no clouds) | fair weather | clear weather | clear sky | fair skies,direct_image,84,single_object_or_place,nature_weather,fine weather,晴天,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n1_02046,N1,桐,きり,,paulownia tree,,,,noun (common) (futsuumeishi),paulownia (Paulownia tomentosa) | empress tree | foxglove tree,direct_image,84,single_object_or_place,nature_weather,paulownia tree,桐,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
