id,word,reading,meaning,meaningZh,image_review,image_type,visual_domain,image_query_en
n2_03984,刺身,さしみ,sliced raw fish,生鱼片,OK,single_object_or_place,animal,sliced raw fish
n2_04868,競馬,けいば,horse racing,赛马,OK,single_object_or_place,animal,horse racing
n2_03890,保健,ほけん,"health preservation,hygiene,sanitation",健康维护,NO PICTURE,single_object_or_place,body_health,health preservation
n2_03917,先頭,せんとう,"head,lead,vanguard,first",最前头、前端,NO PICTURE,single_object_or_place,body_health,head
n2_04078,向う,むかう,"(v5u) to face,to go towards",对面,NO PICTURE,single_object_or_place,body_health,to face
n2_04811,真っ先,まっさき,"the head,the foremost,beginning",最先、最前,NO PICTURE,single_object_or_place,body_health,head
n2_04991,薬品,やくひん,"medicine(s),chemical(s)",药品,OK,single_object_or_place,body_health,medicine
n2_05248,頭脳,ずのう,"head,brains,intellect",头脑,NO PICTURE,single_object_or_place,body_health,head
n2_05275,麓,ふもと,"the foot,the bottom,the base (of a mountain)",山脚,NO PICTURE,single_object_or_place,body_health,foot
n2_04087,和服,わふく,Japanese clothes,和服,OK,single_object_or_place,clothing,Japanese clothes
n2_04821,着替え,きがえ,"changing clothes,change of clothes",换衣服,NO PICTURE,single_object_or_place,clothing,changing clothes
n2_03679,サークル,サークル,"circle,sports club (i.e. at a company)",社团,NO PICTURE,single_object_or_place,color_shape,circle
n2_04814,真っ青,まっさお,"deep blue,ghastly pale",湛蓝;惨白,NO PICTURE,single_object_or_place,color_shape,deep blue
n2_04815,真っ黒,まっくろ,pitch black,漆黑,NO PICTURE,single_object_or_place,color_shape,pitch black
n2_03510,おやつ,おやつ,"(1) between meal snack,afternoon refreshment",点心,OK,single_object_or_place,food_drink,between meal snack
n2_03828,井戸,いど,water well,水井,OK,single_object_or_place,food_drink,water well
n2_04099,噴水,ふんすい,water fountain,喷泉,OK,single_object_or_place,food_drink,water fountain
n2_04126,地下水,ちかすい,underground water,地下水,NO PICTURE,single_object_or_place,food_drink,underground water
n2_04335,御手洗,おてあらい,font of purifying water placed at entrance of shrine,御手洗,NO PICTURE,single_object_or_place,food_drink,font of purifying water placed at entrance of shrine
n2_04481,断水,だんすい,water outage,停水,NO PICTURE,single_object_or_place,food_drink,water outage
n2_04541,果実,かじつ,"fruit,nut,berry.",水果,OK,single_object_or_place,food_drink,fruit
n2_04597,水滴,すいてき,drop of water,水滴,OK,single_object_or_place,food_drink,drop of water
