id,jlpt_level,word,reading,image_review,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review
n2_03984,N2,刺身,さしみ,,sliced raw fish,生鱼片,FALSE,,noun (common) (futsuumeishi),"sashimi (raw sliced fish, shellfish or crustaceans)",direct_image,84,single_object_or_place,animal,sliced raw fish,刺身,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n2_04868,N2,競馬,けいば,,horse racing,赛马,FALSE,,noun (common) (futsuumeishi),horse racing,direct_image,84,single_object_or_place,animal,horse racing,競馬,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n2_04991,N2,薬品,やくひん,,"medicine(s),chemical(s)",药品,TRUE,可能包含化学药品,noun (common) (futsuumeishi),medicine | drug | chemical (agent) | chemicals,direct_image,84,single_object_or_place,body_health,medicine,薬品,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n2_05275,N2,麓,ふもと,,"the foot,the bottom,the base (of a mountain)",山脚,FALSE,,noun (common) (futsuumeishi),foot (of a mountain or hill) | bottom | base,direct_image,84,single_object_or_place,body_health,foot,麓,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n2_04087,N2,和服,わふく,,Japanese clothes,和服,FALSE,,noun (common) (futsuumeishi),Japanese clothes,direct_image,84,single_object_or_place,clothing,Japanese clothes,和服,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n2_04821,N2,着替え,きがえ,,"changing clothes,change of clothes",换衣服,FALSE,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,changing clothes | change of clothes,direct_image,84,single_object_or_place,clothing,changing clothes,着替え,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n2_03510,N2,おやつ,おやつ,,"(1) between meal snack,afternoon refreshment",点心,FALSE,,noun (common) (futsuumeishi),between-meal snack | mid-afternoon (around 3 o'clock) snack | afternoon refreshment | afternoon tea,direct_image,84,single_object_or_place,food_drink,between meal snack,おやつ,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_03828,N2,井戸,いど,,water well,水井,FALSE,,noun (common) (futsuumeishi),water well,direct_image,84,single_object_or_place,food_drink,water well,井戸,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_04099,N2,噴水,ふんすい,,water fountain,喷泉,FALSE,,noun (common) (futsuumeishi),water fountain,direct_image,84,single_object_or_place,food_drink,water fountain,噴水,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_04126,N2,地下水,ちかすい,,underground water,地下水,FALSE,,noun (common) (futsuumeishi),groundwater | underground water,direct_image,84,single_object_or_place,food_drink,underground water,地下水,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_04335,N2,御手洗,おてあらい,,font of purifying water placed at entrance of shrine,御手洗,TRUE,可能指神社入口净化水装置，但JMdict注释为厕所相关，需确认常用学习者含义,noun (common) (futsuumeishi),toilet | restroom | lavatory | bathroom,direct_image,84,single_object_or_place,food_drink,font of purifying water placed at entrance of shrine,御手洗,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_04541,N2,果実,かじつ,,"fruit,nut,berry.",水果,FALSE,from existing zh_meanings.py,noun (common) (futsuumeishi),fruit | nut | berry | fruits | profit,direct_image,84,single_object_or_place,food_drink,fruit,果実,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_04597,N2,水滴,すいてき,,drop of water,水滴,FALSE,,noun (common) (futsuumeishi),drop of water | vessel for replenishing inkstone water,direct_image,84,single_object_or_place,food_drink,drop of water,水滴,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_04601,N2,水蒸気,すいじょうき,,"water vapour,steam",水蒸气,FALSE,,noun (common) (futsuumeishi),water vapour | water vapor | steam,direct_image,84,single_object_or_place,food_drink,water vapour,水蒸気,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_04766,N2,田植え,たうえ,,rice planting,插秧,FALSE,,noun (common) (futsuumeishi),rice planting,direct_image,84,single_object_or_place,food_drink,rice planting,田植え,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_04972,N2,茶碗,ちゃわん,,"rice bowl,tea cup,teacup",饭碗,FALSE,from existing zh_meanings.py,noun (common) (futsuumeishi),rice bowl | tea cup | teacup,direct_image,84,single_object_or_place,food_drink,rice bowl,茶碗,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_05261,N2,餅,もち,,sticky rice cake,米糕,FALSE,,noun (common) (futsuumeishi),mochi | small rice cake made from glutinous rice,direct_image,84,single_object_or_place,food_drink,sticky rice cake,餅,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_03782,N2,三日月,みかづき,,"new moon,crescent moon",三日月,TRUE,中文中更常用'月牙'表示新月，但此处需根据日语原词翻译,noun (common) (futsuumeishi),crescent moon | young moon,direct_image,84,single_object_or_place,nature_weather,new moon,三日月,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n2_03804,N2,並木,なみき,,"roadside tree,row of trees",行道树；树列,FALSE,,noun (common) (futsuumeishi),roadside trees | row of trees,direct_image,84,single_object_or_place,nature_weather,roadside tree,並木,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n2_04080,N2,吹雪,ふぶき,,snow storm,暴风雪,FALSE,,noun (common) (futsuumeishi),snow storm | blizzard,direct_image,84,single_object_or_place,nature_weather,snow storm,吹雪,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n2_04164,N2,夕日,ゆうひ,,"(in) the evening sun,setting sun",夕阳,FALSE,,noun (common) (futsuumeishi),evening sun | setting sun,direct_image,84,single_object_or_place,nature_weather,evening sun,夕日,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n2_04178,N2,大木,たいぼく,,large tree,大树,FALSE,,noun (common) (futsuumeishi),large tree,direct_image,84,single_object_or_place,nature_weather,large tree,大木,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
