id,jlpt_level,word,reading,image_review,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review
n2_03890,N2,保健,ほけん,NO PICTURE,"health preservation,hygiene,sanitation",健康维护,TRUE,,noun (common) (futsuumeishi),preservation of health | hygiene | sanitation | health education (school subject),direct_image,84,single_object_or_place,body_health,health preservation,保健,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n2_03917,N2,先頭,せんとう,NO PICTURE,"head,lead,vanguard,first",最前头、前端,TRUE,,noun (common) (futsuumeishi),"head (of a line, group, etc.) | front | lead | forefront | vanguard",direct_image,84,single_object_or_place,body_health,head,先頭,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,manual,manual correction: head / front
n2_04078,N2,向う,むかう,NO PICTURE,"(v5u) to face,to go towards",对面,TRUE,,noun (common) (futsuumeishi),opposite side | other side | over there | ahead | beyond,direct_image,84,single_object_or_place,body_health,to face,向う,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n2_04811,N2,真っ先,まっさき,NO PICTURE,"the head,the foremost,beginning",最先、最前,TRUE,,noun (common) (futsuumeishi),the head | the foremost | beginning | the very front,direct_image,84,single_object_or_place,body_health,head,真っ先,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,manual,manual correction: first / foremost
n2_05248,N2,頭脳,ずのう,NO PICTURE,"head,brains,intellect",头脑,TRUE,,noun (common) (futsuumeishi),head | brains | intellect | understanding,direct_image,84,single_object_or_place,body_health,head,頭脳,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n2_03679,N2,サークル,サークル,NO PICTURE,"circle,sports club (i.e. at a company)",社团,TRUE,,noun (common) (futsuumeishi),group with a common interest (e.g. students) | club (e.g. company sports club) | circle | circle (shape),direct_image,84,single_object_or_place,color_shape,circle,サークル,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n2_04814,N2,真っ青,まっさお,NO PICTURE,"deep blue,ghastly pale",湛蓝;惨白,TRUE,,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),deep blue | bright blue | ghastly pale | pallid | white as a sheet,direct_image,84,single_object_or_place,color_shape,deep blue,真っ青,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n2_04815,N2,真っ黒,まっくろ,NO PICTURE,pitch black,漆黑,TRUE,,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),pitch black,direct_image,84,single_object_or_place,color_shape,pitch black,真っ黒,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n2_04481,N2,断水,だんすい,NO PICTURE,water outage,停水,TRUE,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,suspension of water supply | water outage,direct_image,84,single_object_or_place,food_drink,water outage,断水,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
n2_05006,N2,衣食住,いしょくじゅう,NO PICTURE,"necessities of life (food, clothing, etc.)",衣食住,TRUE,,noun (common) (futsuumeishi),"food, clothing and shelter | necessities of life",direct_image,84,single_object_or_place,food_drink,necessities of life (food,衣食住,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,
