id,word,reading,meaning,image_review
n4_07364,小鳥,ことり,small bird,NO PICTURE
n4_07604,虫,むし,insect,OK
n4_07592,背中,せなか,back of the body,OK
n4_07671,部長,ぶちょう,head of a section,NO PICTURE
n4_07382,形,かたち,shape,NO PICTURE
n4_07195,ケーキ,ケーキ,cake,OK
n4_07481,水道,すいどう,water supply,NO PICTURE
n4_07504,湯,ゆ,hot water,OK
n4_07573,米,こめ,uncooked rice,OK
n4_07691,食事,しょくじ・する,to have a meal,OK
n4_07147,つき,つくえ / つき,moon,OK
n4_07322,地震,じしん,earthquake,OK
n4_07341,天気予報,てんきよほう,weather forecast,OK
n4_07444,星,ほし,star,OK
n4_07509,火,ひ,fire,OK
n4_07510,火事,かじ,fire,OK
n4_07685,雲,くも,cloud,OK
n4_07194,ガラス,ガラス,a glass pane,OK
n4_07213,パソコン,パソコン,personal computer,OK
n4_07438,新聞社,しんぶんしゃ,newspaper company,OK
n4_07340,大学生,だいがくせい,university student,OK
n4_07343,夫,おっと,husband,NO PICTURE
n4_07346,妻,つま,(humble) wife,NO PICTURE
n4_07387,御主人,ごしゅじん,(honorable) your husband,NO PICTURE
n4_07560,祖母,そぼ,grandmother,NO PICTURE
n4_07561,祖父,そふ,grandfather,NO PICTURE
n4_07699,高校生,こうこうせい,high school student,OK
n4_07193,ガソリンスタンド,ガソリンスタンド / ガソリン・スタンド,petrol station,OK
n4_07215,ビル,ビル,building or bill,OK
n4_07237,中学校,ちゅうがっこう,"junior high school,middle school",OK
n4_07245,事務所,じむしょ,office,OK
n4_07261,会場,かいじょう,assembly hall or meeting place,OK
n4_07264,会議室,かいぎしつ,meeting room,NO PICTURE
n4_07277,入学,にゅうがく・する,to enter school or university,NO PICTURE
n4_07332,売り場,うりば,place where things are sold,NO PICTURE
n4_07362,小学校,しょうがっこう,elementary school,OK
n4_07369,工場,こうじょう,factory,OK
n4_07377,店員,てんいん,shop assistant,OK
n4_07439,旅館,りょかん,Japanese hotel,OK
n4_07555,研究室,けんきゅうしつ,"study room,laboratory",OK
n4_07567,空港,くうこう,airport,OK
n4_07649,退院,たいいん・する,to leave hospital,NO PICTURE
n4_07690,飛行場,ひこうじょう,airport,NO PICTURE
n4_07698,高校,こうこう,high school,OK
n4_07700,高等学校,こうとうがっこう,high school,OK
n4_07240,乗り物,のりもの,vehicle,NO PICTURE
n4_07486,汽車,きしゃ,steam train,OK
n4_07521,特急,とっきゅう,limited express train (faster than an express train),OK
n4_07597,舟,ふね,ship,OK
n4_07197,コンピュータ/コンピューター,,computer,NO PICTURE
n4_07093,お・金持ち,かねもち/おかねもち,rich man,OK
n4_07075,あげる,あげる / アゲる,to give,NO PICTURE
n4_07077,いじめる,いじめる / イジメる / イジめる,to tease,NO PICTURE
n4_07078,いただく,いただく,(humble) to receive,NO PICTURE
n4_07081,うかがう,うかがう,to visit,NO PICTURE
n4_07087,おいでになる,おいでになる,(respectful) to be,NO PICTURE
n4_07090,おっしゃる,おっしゃる,(respectful) to say,NO PICTURE
n4_07102,かまう,かまう,to mind,NO PICTURE
n4_07104,くださる,くださる,(respectful) to give,NO PICTURE
n4_07125,すく,すく,to become empty,NO PICTURE
n4_07137,それほど,それほど,to that extent,NO PICTURE
n4_07153,なさる,なさる,(respectful) to do,NO PICTURE
n4_07157,ぬれる,ぬれる,to get wet,NO PICTURE
n4_07169,ほめる,ほめる,to praise,NO PICTURE
n4_07226,上る,あがる,to rise,NO PICTURE
n4_07227,下げる,さげる,"to hang,to lower,to move back",NO PICTURE
n4_07228,下りる,おりる,to get off,NO PICTURE
n4_07229,下る,さがる,"to get down,to descend",NO PICTURE
n4_07234,世話,せわ・する,to look after,NO PICTURE
n4_07239,乗り換える,のりかえる,to change between buses or trains,NO PICTURE
n4_07241,乾く,かわく,to get dry,NO PICTURE
n4_07248,亡くなる,なくなる,to die,NO PICTURE
n4_07255,付く,つく,to be attached,NO PICTURE
n4_07265,伝える,つたえる,to report,NO PICTURE
n4_07266,似る,にる,to be similar,NO PICTURE
n4_07270,倒れる,たおれる,to break down,NO PICTURE
n4_07276,光る,ひかる,"to shine,to glitter",NO PICTURE
n4_07278,入院,にゅういん・する,to hospitalise,NO PICTURE
n4_07281,写す,うつす,to copy or photograph,NO PICTURE
n4_07282,冷える,ひえる,to grow cold,NO PICTURE
n4_07285,出席,しゅっせき・する,to attend,NO PICTURE
n4_07286,出発,しゅっぱつ・する,to depart,NO PICTURE
n4_07288,別れる,わかれる,to separate,NO PICTURE
n4_07290,割れる,われる,to break,NO PICTURE
n4_07293,動く,うごく,to move,NO PICTURE
n4_07295,勝つ,かつ,to win,NO PICTURE
n4_07296,包む,つつむ,to wrap,NO PICTURE
n4_07303,参る,まいる,"(humble) to go,to come",NO PICTURE
n4_07305,取り替える,とりかえる,to exchange,NO PICTURE
n4_07306,受ける,うける,to take a lesson or test,NO PICTURE
n4_07308,召し上がる,めしあがる,(polite) to eat,NO PICTURE
n4_07310,合う,あう,to match,NO PICTURE
n4_07311,向かう,むかう,to face,NO PICTURE
n4_07317,喜ぶ,よろこぶ,to be delighted,NO PICTURE
n4_07318,噛む,かむ,"to bite,to chew",NO PICTURE
n4_07319,回る,まわる,to go around,NO PICTURE
n4_07327,塗る,ぬる,"to paint,to plaster",NO PICTURE
n4_07328,増える,ふえる,to increase,NO PICTURE
n4_07330,壊す,こわす,to break,NO PICTURE
